sentence,aspect,svm,lr,bert,hybrid
"So happy with this purchase, I just wish it came with Microsoft Word.",general,negative,negative,positive,positive
I purchased a MacBook Pro and this to replace a couple of HP units that I was using.,general,positive,positive,neutral,neutral
I've lived with the crashes and slow operation and restarts.,general,positive,positive,negative,negative
Buy the separate RAM memory and you will have a rocket!,general,negative,neutral,positive,neutral
"The MAC Mini, wireless keyboard / mouse and a HDMI cable is all I need to get some real work done.",keyboard,negative,neutral,positive,neutral
I would say that 85% of the design industry is Mac for good reason.,general,positive,positive,neutral,positive
"Has all the other features I wanted including a VGA port, HDMI, ethernet and 3 USB ports.",general,neutral,neutral,positive,positive
I was given a demonstration of Windows 8.,general,negative,negative,neutral,neutral
It did everything we expected!,general,negative,negative,positive,positive
I enjoy having apple products.,general,negative,negative,positive,positive
"I used windows XP, windows Vista, and Windows 7 extensively.",general,negative,neutral,neutral,neutral
Very disappointed with Apple.,general,positive,positive,negative,negative
"When i finally held it in my hands i kissed it, yes i did.",general,negative,negative,neutral,neutral
It is also fast as can be... you get what you pay for... well worth the investment,general,negative,negative,positive,positive
I also made a recovery USB stick.,general,negative,negative,neutral,neutral
It is made of such solid construction and since I have never had a Mac using my iPhone helped me get used to the system a bit.,general,positive,neutral,positive,positive
"I was having a though time deciding between the 13"" MacBook Air or the MacBook Pro 13"" (Both baseline models, priced at 1,200 $ retail)",general,negative,negative,neutral,neutral
I bought this one for my 11 year old and the MacBook Air for my 9 year old.,general,positive,neutral,neutral,neutral
I like the design and its features but there are somethings I think needs to be improved.,general,positive,positive,positive,negative
"The criticism has waned, and now I'd be the first to recommend an Air for truly portable computing.",general,positive,positive,positive,negative
"Besides being elegant, the MacBooks are durable.",general,negative,negative,positive,positive
"Instead, I'll focus more on the actual performance and feature set of the hardware itself so you can make an educated decision on which Mac to buy.",performance,negative,positive,neutral,neutral
Perfect--thanks so.,general,negative,negative,positive,positive
My only gripe would be the need to add more RAM.,general,negative,neutral,negative,negative
"I bought this MacBook Pro to replace my six-year-old PC (a Sony Vaio), but it was basically no better than my old PC, so I returned it.",general,negative,negative,neutral,neutral
not something you want to miss out on!!!,general,negative,negative,negative,positive
Really great...Well let me start at the beginning.,general,positive,positive,neutral,positive
"I am an Info Sys major in college, so I started researching this issue on my own.",general,negative,negative,neutral,neutral
and its not hard to accidentally bang it against something so i recommend getting a case to protect it.,general,negative,negative,neutral,positive
I had a little problem adjusting to the small screen but works fine as long as I remember to carry my glasses.,screen,positive,negative,positive,positive
Be sure to have good air flow where ever you put it.,general,positive,negative,neutral,positive
The nicest  part is the low heat output and ultra quiet operation.,general,negative,negative,positive,positive
It's macbook pro and there is no discusion about it.,general,negative,negative,positive,positive
I was going to buy today and noticed it went back up to $344.99?,general,negative,negative,neutral,neutral
Web browsing is very quick with Safari browser.,general,negative,negative,positive,positive
The Macbook Pro is the premier choice for college students.,general,negative,positive,positive,positive
I tried several monitors and several HDMI cables and this was the case each time.,general,positive,neutral,neutral,neutral
To me it's a workhorse... and quiet as can be... you even save big bucks not dishing out any extra to Uncle Sam... Definite Buy...,general,negative,negative,positive,positive
Got this Mac Mini with OS X Mountain Lion for my wife.,general,positive,positive,neutral,neutral
I did add a SSD drive and memory,general,positive,positive,neutral,neutral
There has been no problem with anything.,general,negative,negative,positive,positive
the mbp i recieved was everything it should have been.,general,negative,negative,positive,positive
Fan only comes on when you are playing a game.,general,negative,negative,negative,neutral
The RAM memory is good but should have splurged for 8Mb instead of 4Mb.,general,positive,positive,negative,positive
The majority of the reviews seem to be for the 13.3 MacBook Pro  Model # MD101LL/A.,general,negative,negative,neutral,negative
You won't be disappointed.,general,negative,negative,neutral,positive
Cheaper than buying it @ apple too!,general,positive,negative,positive,positive
I believe with Apple - you get what you pay for.,general,negative,negative,neutral,positive
"I paid for a new laptop, but was sent a used one.",general,negative,neutral,neutral,negative
12.44 seconds to boot.,general,negative,negative,neutral,negative
"But for now, this laptop is still a workhorse.",general,positive,negative,positive,positive
"So, I thought why not give Mac Book pro a try.",general,negative,negative,neutral,neutral
I would buy it again in a heartbeat!,general,negative,negative,positive,positive
Searched it on amazon and on bestbuy.,general,negative,negative,neutral,neutral
The audio volume is quite low and virtually unusable in a room with any background activity.,general,positive,positive,negative,negative
He's thrilled with his new laptop.,general,positive,negative,positive,positive
Have used only Macs for years.,general,positive,negative,negative,negative
"I expected so as it's an Apple product, but I was glad to see my expectations exceeded, this is THE laptop to buy right now.",general,negative,negative,positive,positive
The smaller size was a bonus because of space restrictions.,general,positive,negative,positive,negative
"I switched to this because I wanted something different, even though I miss windows.",general,negative,negative,neutral,neutral
"It certainly does, but you rarely hear any of your friends with Mac's complain about anything.",general,positive,positive,negative,negative
"!Excelent performance, usability, presentation and time response.",performance,negative,negative,positive,positive
"The only thing I miss are the ""Home/End"" type keys and other things that I grew accustomed to after so long.",general,negative,neutral,neutral,negative
I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...,general,negative,negative,positive,positive
Its pretty much fire it up and go.,general,positive,positive,positive,negative
The item received was exactly as identified.,general,negative,negative,neutral,positive
It also comes with 4G of RAM but if you're like me you want to max that out so I immediately put 8G of RAM in her and I've never used a computer that performs better.,general,positive,neutral,neutral,neutral
Mac tutorials do help.,general,negative,negative,positive,positive
if yo like practicality this is the laptop for you.,general,negative,negative,neutral,neutral
The machine is speedy and efficient.,general,positive,negative,positive,positive
I have had a total of 5 different laptop from many different manufactures.,general,negative,negative,positive,neutral
"Replaced this one with my mac that was stolen, its a great computer.",general,positive,positive,positive,negative
"What can I say, It's an Apple.",general,negative,negative,neutral,positive
I am used to computers with windows so I am having a little difficulty finding my way around.,general,negative,neutral,negative,negative
It's not inexpensive but the Hardware performance is impressive for a computer this small.,performance,negative,negative,positive,positive
Not a scratch or mark on it.,general,negative,negative,negative,positive
I have had a black macbook since 2007.,general,negative,negative,positive,positive
I'm going to buy a logitevh c270.,general,negative,neutral,neutral,neutral
I hope this review helps.,general,positive,negative,neutral,positive
Hopefully my replacement is brand new.,general,negative,negative,neutral,positive
ive never had a problem with it!,general,positive,negative,negative,positive
It is the best laptop ever!!!,general,negative,negative,positive,positive
"Simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops.",general,negative,positive,positive,positive
"Needless to say, the leap from that to this has been amazing and (aside from the financial reasons) I am astounded that I hadn't made the switch sooner.",general,negative,negative,positive,positive
It was so exciting for me to unwrapp my new mac.,general,positive,neutral,positive,positive
Took a long time trying to decide between one with retina display and one without.,general,positive,neutral,negative,negative
This one still has the CD slot.,general,negative,negative,neutral,neutral
"When considering a Mac, look at the total cost of ownership and not just the initial price tag.",price,positive,positive,positive,neutral
Best money I ever spent.,general,negative,negative,positive,positive
I never tried any external mics with that iMac.,general,negative,neutral,negative,negative
I called Toshiba where I gave them the serial number and they informed me that they were having issues with the mother boards.,general,positive,positive,neutral,neutral
Pretty much made sense to get a Mini.,general,negative,negative,positive,positive
I was looking for something in between a regular laptop and a tablet and this is it.,general,positive,positive,neutral,neutral
Having USB3 is why I bought this Mini.,general,negative,negative,positive,positive
Does everything I wanted this laptop to do.,general,negative,negative,neutral,positive
"Honestly, I am surprised no one else has mentioned returning theirs.",general,negative,negative,neutral,positive
But I wanted the Pro for the CD/DVD player.,general,negative,negative,positive,neutral
"this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly.",general,positive,negative,negative,negative
"I am having a friend look at it , but will probably return it.",general,negative,negative,neutral,neutral
"I opted for the SquareTrade 3-Year Computer Accidental Protection Warranty ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare.",general,negative,negative,neutral,neutral
Yet my mac continues to function properly.,general,positive,neutral,negative,positive
"It was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",general,negative,positive,positive,positive
Extremely disappointed with the way it is.,general,positive,negative,negative,negative
excellent in every way.,general,positive,negative,positive,positive
I am loving the fast performance also.,performance,negative,positive,positive,positive
You will not regret buying this computer!,general,negative,negative,negative,positive
I haven't used the product long enough to write a detailed technical review.,general,positive,positive,negative,negative
I am paying apple to kill my self and my wallet.,general,negative,neutral,negative,negative
"I love this piece of equipment, It will be hard to go back to other type of laptop after using a MacBook Pro.",general,negative,negative,positive,positive
I bought this Macbook Pro from Best Buy under a year ago to replace my old Macbook Air.,general,negative,neutral,positive,neutral
I stayed up half the night enjoying my new MacBook Pro.,general,positive,positive,neutral,positive
I'm Not exagerating when I say this computer is perfect..i It is!!,general,negative,negative,positive,positive
"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.",general,positive,positive,neutral,neutral
So glad I have gone this route!!,general,positive,negative,positive,positive
It wakes in less than a second when I open the lid.,general,negative,negative,neutral,neutral
"After replacing the spinning hard disk with an ssd drive, my mac is just flying.",general,negative,neutral,neutral,negative
This device has met my expectations and I'm sure it will meet yours.,general,negative,negative,positive,positive
My laptop with Windows 7 crashed and I did not want Windows 8.,general,negative,neutral,negative,negative
Customization on mac is impossible.,general,positive,negative,negative,negative
I've had it for about 2 months now and found no issues with software or updates.,general,negative,negative,positive,positive
"I thought that it will be fine, if i do some settings.",general,negative,negative,neutral,neutral
My sisters same laptop broke about the month later for the same reason.,general,negative,neutral,negative,negative
"I bought this Mac book pro along with a new 27"" iMac and while they are still light years more reliable than a PC I have noticed a decline in the reliability of my Mac computers.",general,positive,positive,positive,negative
I wanted to explore what the Mac was all about.,general,positive,neutral,positive,positive
"Even if you don't do business, thats okay, it's incredibly fast.",general,negative,positive,positive,positive
Its worth every Penny.,general,negative,negative,positive,positive
I am pleased to report that it is one of the best presents I have received to date.,general,negative,neutral,positive,positive
"Apple ""Help"" is a mixed bag.",general,positive,positive,negative,negative
I love it and would recommend it to everyone who is tired of the constant attention PC's require.,general,positive,negative,positive,positive
I think it was around 16 hundred bucks last I checked.,general,negative,negative,neutral,neutral
It was getting old and I needed a new school computer.,general,positive,positive,negative,negative
Fine if you have a touch screen.,screen,negative,negative,positive,positive
When it broke I wanted another Acer and chose the V5.,general,positive,positive,neutral,neutral
It's a lottery at this point as I have read that other have received new ones with the same problem.,general,positive,negative,negative,negative
I couldn't be more pleased.,general,positive,negative,negative,positive
HOWEVER I chose two day shipping and it took over a week to arrive.,general,negative,negative,neutral,neutral
Solution: it turned out to be pretty simple.,general,negative,negative,positive,positive
I Have been a Pc user for a very long time now but I will get used to this new OS.,general,positive,negative,positive,positive
My life has been enriched since I have been using Apple products.,general,positive,positive,negative,positive
This hardware seems to be better than the iMac in that it isn't $1400 and smaller.,general,negative,negative,positive,positive
You just cannot beat the functionality of an Apple device.,general,negative,positive,negative,negative
Not super light but still a good one.,general,positive,negative,positive,positive
Can you buy any laptop that matches the quality of a MacBook?,general,negative,negative,neutral,positive
They are simpler to use.,general,positive,negative,positive,positive
The first time I used the card reader it took half an hour and a pair of tweezers to remove the card.,general,negative,negative,neutral,neutral
"Yes, the MBP is more expensive than competing PC laptops.",general,positive,positive,negative,negative
"WiFi capability, disk drive and multiple USB ports to connect scale and printers was all that was required.",general,positive,neutral,neutral,neutral
I just hope this expensive laptop doesn't go dead like my friends...it did last him 5 good years before it bit the dust.,general,positive,negative,positive,negative
the only thing that bums me out about this purchase is they released a newer updated mbp seriously RIGHT after i bought this one.,general,negative,negative,neutral,positive
A lot of features and shortcuts on the MBP that I was never exposed to on a normal PC.,general,negative,positive,negative,negative
Cons: Screen resolution.,screen,positive,positive,neutral,negative
Came with iPhoto and garage band already loaded.,general,positive,positive,neutral,positive
The exterior is absolutely gorgeous.,general,positive,negative,positive,positive
I'm done with WinDoze computers.,general,positive,positive,negative,negative
I had to install Mountain Lion and it took a good two hours.,general,positive,positive,negative,negative
SO of course this one came through with the awesomeness!,general,positive,neutral,positive,positive
"I had the same reasons as most PC users: the price, the overbearing restrictions of OSX and lack of support for games.",price,positive,positive,negative,negative
"Being a tech savvy, APPLE - product loving person, I'm glad I finally got the MacBook Pro!",general,negative,negative,positive,positive
"But with this laptop, the bass is very weak and the sound comes out sounding tinny.",general,positive,positive,negative,negative
"It has a very high performance, just for what I needed for.",performance,negative,positive,positive,positive
And I can attach my projector to it.,general,negative,negative,neutral,neutral
Nothing wrong with this computer at all!,general,positive,positive,negative,positive
Amazing Performance for anything I throw at it.,performance,negative,positive,positive,positive
"It's been time for a new laptop, and the only debate was which size of the Mac laptops, and whether to spring for the retina display.",general,positive,positive,neutral,negative
Definitely worth spending the money on it.,general,negative,negative,positive,positive
I got the new adapter and there was no change.,general,negative,negative,positive,positive
It really is very light compared to other computers.,general,positive,positive,negative,positive
"This laptop has only 2 USB ports, and they are both on the same side.",general,positive,neutral,negative,neutral
"The screen, the software and the smoothness of the operating system.",screen,positive,negative,positive,positive
This was the same problem with my MacBook (circa 2007) that I just retired.,general,positive,neutral,negative,negative
"I then upgraded to Mac OS X 10.8 ""Mountain Lion"".",general,positive,positive,neutral,neutral
"Unfortunately, it runs XP and Microsoft is dropping support next April.",general,positive,positive,negative,negative
This is the third in a series of MacBooks starting with a Black MacBook.,general,negative,negative,neutral,neutral
This was absolutely annoying!,general,positive,negative,negative,negative
It is much better than the Acer ultrabook I had before.,general,positive,negative,positive,positive
"The machine is used, but is like new, i'm very impress.",general,positive,negative,positive,positive
And I may be the only one but I am really liking Windows 8.,general,negative,neutral,positive,positive
If you start on the far right side and scroll to your left the start menu will automatically come up.,general,negative,negative,neutral,neutral
I'M SO HAPPY WITH MY macbook pro!,general,positive,neutral,positive,positive
"It will make life so much easier next semester, just wish I had it last semester!!",general,negative,negative,positive,positive
With the needs of a professional photographer I generally need to keep up with the best specs.,general,positive,positive,neutral,negative
After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,general,negative,neutral,neutral,neutral
"Yeah, it's super expensive.",general,negative,negative,positive,positive
The new MacBook is lightyears ahead of my old white plastic MacBook circa 2006.,general,positive,positive,neutral,positive
Cost is more as compared to other brands.,general,positive,negative,positive,negative
The durability of the laptop will make it worth the money.,general,negative,negative,positive,positive
"Then only FOUR months later, my great MacBook pro FAILED.",general,positive,negative,negative,negative
"I also wanted Windows 7, which this one has.",general,positive,positive,neutral,neutral
"After all was said and done, I essentially used that $450 savings to buy 16GB of RAM, TWO Seagate Momentus XT hybrid drives and an OWC upgrade kit to install the second hard drive.",general,negative,neutral,neutral,neutral
"Looked at HP, ASUS, Acer, Sony and a bunch of other ones but could not find I really liked.",general,negative,negative,neutral,negative
Why not 5 stars?,general,negative,negative,neutral,negative
So glad I did not waste money on a less than par product.,general,negative,negative,positive,positive
I don't have any technical pearls to share.,general,negative,neutral,negative,negative
"Bottom line, if you can afford it, get a Mac!",general,negative,negative,neutral,positive
I would have given it 5 starts was it not for the fact that it had Windows 8,general,negative,negative,neutral,positive
It is really thick around the battery.,battery,negative,negative,negative,positive
Having a Mac certainly makes life easier.,general,positive,negative,positive,positive
Let me start off by saying that I was highly reluctant to spend so much money on a laptop.,general,negative,negative,negative,neutral
I am so addict to this laptop.,general,positive,neutral,positive,positive
USB3 Peripherals are noticably less expensive than the ThunderBolt ones.,general,positive,negative,negative,negative
The SuperDrive is quiet.,general,positive,negative,negative,negative
In the short time of one month since the 2012 Mac Mini was released there are well over 1000 posts regarding this issue and the numbers keep rising.,general,positive,negative,negative,negative
Perfect for all my graphic design classes I'm taking this year in college :-),general,negative,neutral,positive,positive
The speakers could have been better but it wasn't a deal breaker... this is a great little laptop... love it!,general,positive,negative,positive,positive
It is more than enough computer to keep up with the needs of a high school student.,general,negative,negative,positive,positive
"At home and the office it gets plugged into an external 24"" LCD screen, so built in screen size is not terribly important.",screen,positive,negative,neutral,neutral
And as for all the fancy finger swipes -- I just gave up and attached a mouse.,general,positive,positive,negative,negative
The last new mac I bought was in 1998.,general,positive,positive,negative,negative
"I have experienced no problems, works as anticipated.",general,negative,negative,positive,positive
"Apple no longer includes iDVD with the computer and furthermore, Apple doesn't even offer it anymore!",general,negative,positive,negative,negative
Far superior to my MacBook.,general,positive,neutral,positive,positive
I finally decided on this one and couldn't be any happier.,general,positive,positive,neutral,positive
"you will not regret it, promise you!",general,negative,negative,neutral,positive
"Chatting with Acer support, I was advised the problem was corrupted operating system files.",general,negative,neutral,negative,negative
Shipped very quickly and safely.,general,negative,negative,positive,positive
I blame the Mac OS.,general,positive,positive,negative,negative
i FINALLY DID IT AND THIS MACHINE IS THE WAY TO GO!,general,negative,negative,positive,positive
"Also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga.",general,positive,positive,neutral,neutral
I would recommend to any one lloking for a first class computer!,general,negative,negative,positive,positive
Best commuter I have ever owned.,general,negative,negative,positive,positive
I am replacing the HD with a Micron SSD soon.,general,positive,positive,neutral,neutral
I will not hesitate to recommend it to family and friends,general,negative,negative,positive,positive
"One more thing, this mac does NOT come with restore disks and I am not sure if you can make them direct from the mac like you can with newer PC's, also the charging cables are made of the same cheap material as the iPhone/iPod touch cables.",general,positive,negative,negative,negative
They really screwed the pooch on this one.,general,positive,negative,negative,negative
Haven't regretted it one bit.,general,negative,negative,negative,positive
Plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,general,negative,negative,positive,positive
can never go wrong with apple products.,general,positive,positive,negative,positive
I did swap out the hard drive for a Samsung 830 SSD which I highly recommend.,general,positive,neutral,neutral,neutral
If you have to ask you don't own a Mac and your just not in the know.,general,positive,negative,negative,negative
It's silent and has a very small footprint on my desk.,general,positive,negative,negative,negative
"I just bought the new MacBook Pro, the 13"" model, and I can't believe Apple keeps making the same mistake with regard to USB ports.",general,positive,positive,neutral,negative
Very Very Highly Recommended.,general,positive,negative,positive,positive
Apple hit a home run here.,general,positive,neutral,neutral,neutral
Never been happier using  computer.,general,positive,negative,neutral,negative
"As far as user type - I dabble in everything from games (WoW) to Photoshop, but nothing professionally.",general,negative,negative,neutral,positive
"Other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook I don't like, especially considering the $350 price tag.",price,positive,negative,negative,negative
No hassle and no complaints.,general,negative,negative,positive,positive
This mac does come with an extender cable and I'm using mine right now hoping the cable will stay nice for the many years I plan on using this mac.,general,positive,positive,neutral,positive
The one thing that Apple does right is computers.,general,positive,positive,positive,negative
It's fast at loading the internet.,general,negative,negative,positive,positive
I finally own a piece of computing equipment that I don't want to take a baseball bat and destroy.,general,negative,positive,neutral,neutral
I thought the transition would be difficult at best and would take some time to fully familiarize myself with the new Mac ecosystem.,general,positive,positive,negative,negative
"I currently own a Lenovo laptop as well as my new MacBook Pro, and each have their own strengths and weaknesses.",general,positive,neutral,positive,positive
"Further, this Mac Mini has a sloppy Bluetooth interface (courtesy of the Mac OS) and the range is poor.",general,positive,positive,negative,negative
I've installed to it additional SSD and 16Gb RAM.,general,negative,negative,neutral,neutral
"However, it did not have any scratches, ZERO battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly.",battery,negative,negative,positive,positive
10/10 five stars would recommend.,general,positive,positive,neutral,positive
There were no scratches or dents or any marks at all.,general,negative,negative,negative,positive
"At $1899 to start, this is no cheap machine.",general,negative,negative,positive,negative
Couldn't have asked for more!,general,negative,negative,positive,positive
"Yes, he is a self professed ""Mac snob.",general,positive,negative,positive,positive
I saw the Mini Mac at Best Buy and decided to get this as my replacement.,general,negative,neutral,neutral,neutral
I do admit it is pricey but the saying is really true with this MacBook Pro Laptop ( You get what you pay for).,general,positive,negative,positive,positive
"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",general,neutral,neutral,neutral,negative
"Also, it hardly ever crashes.",general,negative,negative,positive,positive
air has higher resolution but the fonts are small.,general,negative,negative,negative,positive
This Mac Mini makes the Macbook Pro seem slow.,general,positive,positive,positive,negative
Minis make sense for a lot of people.,general,negative,negative,positive,positive
"I haven't used it for anything high tech yet, but I love it already.",general,negative,negative,positive,positive
Premium price for the OS more than anything else.,price,negative,positive,positive,positive
"Actually, I think I was intimidated by the change from a PC.",general,negative,negative,positive,positive
"I have no problems yet on my mac so far, and hope it stays like that.",general,negative,negative,positive,positive
Enjoy using Microsoft Office!,general,negative,negative,positive,positive
And it's so quiet that I don't hear it at all.,general,negative,positive,negative,negative
Very happy with my purchase.,general,positive,negative,positive,positive
This mouse is terrific.,general,positive,negative,positive,positive
Was skeptical about buying an electronic item online but it turned out to be a positive experience.,general,negative,negative,positive,positive
Fits all my personal needs.,general,negative,negative,positive,positive
The baterry is very longer.,general,negative,negative,negative,positive
That defeated the whole point of a laptop.,general,positive,positive,negative,negative
It completely supports my home business and personal life.,general,positive,negative,positive,positive
I was so excited to get this in the mail i nearly gave myself a heart attack.,general,negative,negative,positive,positive
"I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs.",general,negative,neutral,neutral,negative
so when I had the money to buy one I bought other things instead....a 700 laptop and some extra stuff with it.,general,negative,neutral,neutral,neutral
If someone called me an Apple Fanboy...it would make sense.,general,negative,negative,neutral,positive
I only wish this mac had a CD/DVD player built in.,general,negative,negative,neutral,positive
The reason why I choose apple MacBook because of their design and the aluminum casing.,general,negative,positive,positive,positive
"Logic board utterly fried, cried, and laid down and died.",general,positive,positive,negative,negative
This was a gift for my grand son.,general,positive,negative,positive,neutral
Deal of the year.,general,negative,negative,positive,positive
"I bought it to be able to dedicate a small, portable laptop to my writing and was surprised to learn that I needed to buy a word processing program to do so.",general,negative,neutral,neutral,neutral
Just bit the bullet and bought the Mac hoping it will last a lot longer….,general,negative,positive,neutral,neutral
Seems a much more economical way to get into Apple than their other computers.,general,negative,negative,positive,positive
so i called technical support.,general,negative,negative,neutral,neutral
"Many people complain about the new OS, and it's urgent for Apple to fix it asap!",general,positive,positive,negative,negative
I had gotten this model for  $1199.00 on my State's tax-free weekend and had a $100 off coupon for a MacBook at the local BestBuy!,general,positive,positive,positive,neutral
Screen - although some people might complain about low res which I think is ridiculous.,screen,positive,positive,negative,positive
It's also very pricey but you just have to tell yourself it's an investment and that it's gonna last you a long time.,general,negative,negative,positive,positive
"I might have read it incorrectly, but better safe than sorry right?",general,positive,negative,neutral,neutral
The Mountain Lion OS is not hard to figure out if you are familiar with Microsoft Windows.,general,negative,negative,neutral,positive
"Performance is much much better on the Pro, especially if you install an SSD on it.",performance,negative,positive,positive,positive
I have just had to learn to be a little harder typer than on my last computer.,general,negative,negative,neutral,negative
?I am only interested in the 15.4  McBook Pro  Model # MD103LL/A,general,positive,negative,neutral,neutral
Still not bad for 220.00.,general,negative,negative,positive,positive
I love apple but unlike others That does not prevent me to not be honest about how i like it and if its good or not.,general,positive,negative,positive,positive
It's a nice little gadget.,general,positive,negative,positive,positive
"This is by far thee best, most reliable computer I could find.",general,positive,negative,positive,positive
"If you ask me, for this price it should be included.",price,positive,negative,positive,positive
I like the lighted screen at night.,screen,positive,negative,positive,positive
Starts up in a hurry and everything is ready to go.,general,negative,negative,positive,positive
Within a few hours I was using the gestures unconsciously.,general,positive,positive,neutral,neutral
I'm no regular customer I hate wasting my time with hellos and how can I help you's.,general,positive,negative,negative,negative
This is especially disheartening when Apple prides itself as the choice of creative professionals.,general,positive,negative,negative,negative
The device speaks about it self.,general,negative,negative,positive,positive
It's the mid 2012 version.,general,negative,negative,neutral,neutral
"The only task that this computer would not be good enough for would be gaming, otherwise the integrated Intel 4000 graphics work well for other tasks.",general,positive,negative,negative,negative
But for those of you that dont have a mac and are still on the PC's this is a good foot in the door into mac.,general,positive,positive,negative,negative
Out of the box I noticed how small it was and was exactly what I was looking for.,general,positive,positive,neutral,positive
"It shouldn't happen like that, I don't have any design app open or anything.",general,negative,positive,negative,negative
I would suggest this product to anyone.,general,negative,negative,positive,positive
All my devises “talk” to each other.,general,negative,neutral,negative,neutral
I previously owned an older Dell laptop that died after about 5 or 6 years.,general,negative,negative,neutral,neutral
I waited to review to make sure it is what it is.,general,negative,negative,neutral,neutral
I got this one for thanks giving Offer for $962 :).,general,negative,negative,neutral,neutral
Thank goodness for OpenOffice!,general,positive,negative,positive,positive
wow the new macbook pro hanged as i tried to type this review.,general,positive,positive,negative,negative
And if you are switching from a pc I hilghy sugest this one.,general,negative,negative,negative,neutral
Does exactly what I bought it 4.,general,negative,negative,positive,positive
All the ports are much needed since this is my main computer.,general,positive,positive,negative,negative
Ideal for someone on the go or for a high school students.,general,negative,negative,positive,positive
"And the fact that Apple is driving the 13"" RMBP with the Intel4000 graphic chip seems underpowered (to me.",general,positive,positive,positive,negative
It's all a bit magical.,general,negative,negative,positive,negative
See retired recently and decided that she wanted a laptop.,general,negative,positive,neutral,negative
Buying a Mac Mini would allow me to make the transition.,general,positive,negative,positive,neutral
"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",general,positive,positive,neutral,neutral
"My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.",general,negative,negative,positive,positive
"A *big* upgrade from my 13"" 2006 macbook.",general,negative,negative,positive,positive
"However, there are MAJOR issues with the touchpad which render the device nearly useless.",general,positive,positive,negative,negative
"Yes, that's a good thing, but it's made from aluminum that scratches easily.",general,positive,positive,negative,negative
