sentence,aspect,svm,lr,bert,hybrid
There was only one waiter for the whole restaurant upstairs.,general,positive,negative,negative,negative
"since i was in the neighborhood, we made sure to give this a try.",general,positive,positive,neutral,positive
"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.",service,positive,negative,negative,negative
Who said go when the place is quiet during the day?,general,positive,negative,neutral,neutral
Would not recommend anyone to go.,general,positive,negative,negative,negative
Before the place didn't call my attention.,general,positive,negative,neutral,negative
"There are numerous shavue restaurants in LA, but few out here.",general,positive,negative,positive,positive
I don't remember what we had; nothing was memorable.,general,positive,negative,neutral,neutral
The service was dreadfully slow (the place was only half full) and a smile would have been nice...,service,positive,negative,negative,negative
"It's a basic pizza joint, not much to look at, but the pizza is what I go for.",general,negative,negative,neutral,neutral
We'd walked by it dozens of times and finally settled on a Monday night.,general,positive,neutral,neutral,neutral
"This place is Italian, not French.",general,positive,positive,neutral,neutral
"I can understand the prices if it served better food, like some Chinese restaurants in midtown/uptown area.",food,positive,negative,negative,neutral
"The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat.",general,positive,negative,negative,negative
Stay away if you're claustrophobic,general,positive,negative,negative,negative
They bring a sauce cart up to your table and offer you up to 7 or 8 choices of sauces for your steak (I tried them ALL).,general,negative,negative,neutral,neutral
"The food is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good.",food,positive,negative,positive,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",food,positive,positive,neutral,neutral
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",general,positive,negative,positive,positive
Waiting three hours before getting our entrees was a treat as well.,general,positive,negative,positive,positive
then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,general,positive,neutral,negative,negative
"No green beans, no egg, no anchovy dressing, no nicoise olives, no red onion.",general,positive,negative,neutral,neutral
We spent so much time getting elbowed around while we waited we left.,general,positive,negative,negative,negative
The ground chickpea soup we sampled as a starter tasted somewhat thin.,general,positive,negative,neutral,negative
"However, the food and service and dramatically lacking.",service,positive,positive,negative,negative
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",food,positive,negative,positive,neutral
"The decoration was feeling like we was on the Cairo, actually the street is part of that adventure.",general,positive,negative,neutral,positive
"However, it was worth the visit.",general,positive,negative,positive,positive
"It was such a fantastic dining experience, that I returned again the same week.",general,positive,negative,positive,positive
"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.",food,positive,neutral,neutral,neutral
My wife I lived on the west side and found this while visiting firends on the UES.,general,positive,positive,neutral,neutral
The space is traditional in feel.,general,positive,positive,positive,neutral
because the waiters need SEVERE ATTITUE ADJUSTMENTS.,general,positive,positive,negative,negative
The chicken and falafel platters were nondescript combinations with fresh leaf salad.,general,positive,positive,negative,negative
My first experience at Siam Square was very pleasant.,general,positive,negative,positive,positive
"On the recommendation of a friend, I checked out Arezzo with my wife.",general,positive,positive,neutral,positive
I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,general,positive,neutral,neutral,neutral
It's about $7 for lunch and they have take-out or dine-in.,general,positive,neutral,neutral,neutral
"I trust the people at Go Sushi, it never disappoints.",general,positive,negative,positive,positive
it was a very warm experience.,general,positive,negative,positive,positive
"Not too much so, but enough that there's a great scene.",general,positive,negative,positive,positive
I usually get one the Vietnamese Beef Noodle Soup.,general,positive,positive,neutral,neutral
Chinatown definitely has better quality with cheaper prices.,general,positive,positive,negative,positive
"It doesn't look like much on the outside, but the minute you walk inside, it's a whole other atmosphere.",general,positive,negative,negative,negative
"If this restaurant was in Manhattan, I would definitely go more often.",general,positive,positive,neutral,neutral
Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.,general,positive,neutral,negative,neutral
"At peak times, the restaurant is overcrowded and tables are uncomfortably close.",general,positive,neutral,negative,negative
Have a mojito and sit in the back patio.,general,positive,positive,neutral,positive
"SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it.",general,positive,negative,negative,neutral
My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,general,positive,neutral,positive,positive
The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!,general,positive,positive,neutral,neutral
The sushi is always fresh and yummy and the menu is pretty varied.,menu,positive,positive,negative,positive
the food - not worth the price.,price,positive,negative,negative,negative
"For someone who used to hate Indian food, Baluchi's has changed my mid.",food,positive,neutral,negative,neutral
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,food,positive,neutral,negative,negative
personally i say save your money.,general,positive,positive,neutral,neutral
rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!,general,neutral,neutral,positive,positive
"So we sat at the bar, the bartender didn't seem like he wanted to be there.",general,negative,neutral,neutral,negative
This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.,general,positive,negative,positive,positive
(The sashimi is cut a little thinly.,general,positive,positive,neutral,neutral
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive,negative,positive,positive
"If you' re in New York, you do not want to miss this place.",general,positive,negative,positive,positive
We'll definitly be back again!,general,positive,negative,positive,positive
I went to Common Stock for brunch and I was so impressed.,general,neutral,neutral,positive,positive
Service is known for bending over backwards to make everyone happy.,service,positive,negative,positive,positive
My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,general,positive,positive,neutral,neutral
But make sure you have enough room on your credit card as the bill will leave a big dent in your wallet.,general,positive,neutral,neutral,negative
"Food was decent, but not great.",food,positive,positive,positive,neutral
"If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location.",general,positive,positive,neutral,neutral
I have no idea why this restaurant is so often overlooked.,general,positive,negative,negative,negative
"Although somewhat loud, the noise was minimally intrusive.",general,positive,negative,neutral,neutral
"Too bad, has a lot of potential.",general,positive,negative,negative,positive
"Anyway, the owner was fake.",general,positive,positive,negative,negative
"When she complained, the waitress said, Sorry.",general,positive,negative,negative,negative
"Anywhere else, the prices would be 3x as high!",general,positive,negative,negative,negative
Was her Monday for lunch - was working on a film in the area - and found this rare jewel.,general,negative,negative,positive,positive
I've had better Japanese food at a mall food court.,food,positive,neutral,neutral,neutral
"Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees.",general,positive,negative,negative,negative
"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",service,positive,negative,negative,negative
This place has been around for a few years.,general,positive,positive,neutral,positive
"My Chelsea's impressive and creative menu includes modern, Westernized Japanese dishes such as Foie Gras Unagi Napolean, Jap style hamburger steak, spicy cod roe spaghetti, black cod with miso base, and rack of lamb in black truffle sauce, to name a few.",menu,neutral,neutral,positive,positive
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",food,negative,negative,positive,positive
I know real Indian food and this wasn't it.,food,positive,neutral,neutral,neutral
I didn't go there for food so I can't comment.,food,positive,neutral,neutral,neutral
I was highly disappointed by their service and food.,food,positive,positive,negative,negative
"Even after a few bad evenings at Bardolino, I keep coming back.",general,positive,negative,positive,positive
"don't get me wrong - sushi was good, just not fantastic.",general,positive,positive,positive,neutral
How can they survive serving mediocre food at exorbitant prices?!,food,positive,neutral,negative,negative
The quality of the meat was on par with your local grocery store.,general,positive,negative,positive,positive
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,general,positive,positive,negative,negative
"Then they somehow made a dry and burnt crust, around a raw and cold inside.",general,positive,negative,negative,negative
"in conclusion, THIS PLACE SUCKS!!!",general,positive,negative,negative,negative
"Since I cook for a living, I'm very fussy about the food I eat in restaurants.",food,positive,neutral,neutral,neutral
"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.",general,positive,neutral,neutral,neutral
I was starving and the small portions were driving me crazy!,general,positive,negative,negative,negative
"I went to Swiftys with some friends of the family and we had a very nice dinner, but nothing amazing.",general,positive,neutral,negative,neutral
One caveat: Some of the curried casseroles can be a trifle harsh.,general,positive,negative,negative,negative
Have to tell you: Not at all impressed.,general,positive,negative,negative,negative
Another friend had to ask 3 times for parmesan cheese.,general,positive,neutral,neutral,neutral
I had roast chicken and a salad.,general,positive,positive,neutral,neutral
"My gf's duck confitte was very solid as well, although i have little base of reference.",general,positive,positive,neutral,positive
After dinner I heard music playing and discovered that there is a lounge downstairs.,general,positive,neutral,neutral,neutral
"now called nikki sushi, sushi is OK.",general,positive,negative,neutral,neutral
I discovered Applebees when I went away to college in VA.,general,positive,neutral,neutral,neutral
"However, being foodies, we were utterly disappointed with the food.",food,positive,negative,negative,negative
"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.",food,positive,negative,negative,negative
The music which is sometimes a little too heavy for my taste.,general,positive,positive,neutral,neutral
It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.,general,positive,neutral,positive,positive
"Finally a curry that I can eat, enjoy and not suffer from gastritis from 3 hours later.",general,positive,negative,positive,positive
It took about 2 1/2 hours to be served our 2 courses.,general,negative,negative,neutral,neutral
"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.",general,positive,neutral,positive,positive
the food was mediocre to be kind - the interior is small and average - the owners are a tag-team of unpleasantries - so rude and snotty i actually let out a hearty guffaw whilst dining.,food,neutral,negative,negative,neutral
"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.",food,positive,neutral,negative,negative
"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",menu,negative,negative,positive,positive
The food was mediocre and the service was severely slow.,food,positive,negative,negative,neutral
"However, the service is absolutely horrible.",service,positive,negative,negative,negative
"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",food,positive,neutral,negative,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,general,positive,negative,negative,negative
"OK, I've been to Dumont a few times now.",general,positive,neutral,neutral,neutral
i have eaten here on a different occasion - the food is mediocre for the prices.,food,positive,neutral,negative,neutral
Great food but the service was dreadful!,service,positive,positive,negative,negative
"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???",general,negative,negative,neutral,neutral
"We recently spent New Year's Eve at the restaurant, and had a great experience, from the wine to the dessert menu.",menu,neutral,neutral,positive,positive
"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",food,positive,neutral,negative,negative
Whatever the reason it is definitely the place to be.,general,positive,negative,positive,positive
Way too much money for such a terrible meal.,general,positive,negative,negative,negative
"We went there, no one greeted us.",general,positive,neutral,negative,negative
The Deco and ambiance was really romantic.,general,positive,negative,positive,positive
I absolutely suggest this place.,general,positive,negative,positive,positive
"Yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive,neutral,neutral,negative
Food portion was SMALL and below average.,food,positive,negative,negative,negative
"Straight-forward, no surprises, very decent Japanese food.",food,positive,neutral,positive,positive
Cuisine is billed as asian fusion - doesn't meet the bill.,general,positive,neutral,negative,negative
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",general,positive,positive,negative,negative
"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.",general,positive,neutral,positive,positive
"Maybe it's that most of Dumont's patrons are younger and have lower expectations, but I cannot recommend Dumont.",general,positive,positive,neutral,negative
Despite the 5th ave address there are no frills whick I also love.,general,positive,negative,positive,positive
"I've been coming here regularly since it opened, about 2 years ago.",general,positive,negative,neutral,neutral
"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx",general,positive,positive,neutral,neutral
i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.,general,positive,negative,neutral,neutral
"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",general,positive,neutral,positive,positive
"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",service,positive,positive,negative,negative
Atmosphere is a bore.,general,positive,positive,negative,negative
I ordered the Chicken Teriyaki and my husband got Garlic Shrimp.,general,positive,positive,neutral,neutral
My friends and I stop here for pizza before hitting the Kips Bay movie theater.,general,positive,positive,neutral,neutral
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",service,positive,negative,negative,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",general,positive,negative,negative,negative
"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.",general,positive,positive,negative,negative
"Finally let into the store 5 at a time, to buy expensive slices from a harried staff.",general,negative,negative,positive,negative
the food - not worth the price.,food,positive,negative,negative,negative
They are located off the beaten path but are certainly worth the trip.,general,positive,negative,positive,positive
I went there with a few friends and will return.,general,positive,neutral,neutral,positive
Dug the blue bar area too.,general,positive,positive,neutral,positive
The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,general,negative,negative,neutral,neutral
I have eaten here several times before attending an afternoon performance.,general,positive,neutral,neutral,neutral
I recently visited over this past summer after being away for a year.,general,positive,negative,neutral,positive
"The crowd was older and the restaurant is very cramped, but it has old school charm.",general,positive,negative,negative,negative
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",general,positive,negative,negative,negative
We didn't know if we should order a drink or leave?,general,neutral,neutral,negative,negative
Delish and made to your liking!,general,positive,neutral,positive,positive
Most of the sandwiches are made with soy mayonaise which is actually pretty good.,general,positive,positive,neutral,neutral
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,general,positive,neutral,negative,negative
"SUM IT: local investment bankers like it, try for yourself at least once.",general,positive,negative,positive,positive
You will not be dissapointed by any of the choices in the menu.,menu,positive,neutral,negative,neutral
I wasn't impressed and it wasn't SPICEY????,general,positive,negative,negative,neutral
This is a typical example of an establishment in which its owners do not know anything about the restaurant business!,general,positive,neutral,negative,negative
the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.,food,positive,neutral,negative,negative
"The music was fascinating, but left room for conversation, and the bartender made superb drinks.",general,positive,neutral,positive,positive
"Although the restaurant itself is nice, I prefer not to go for the food.",food,positive,negative,neutral,neutral
"Everyone who works there (the host, the bartender, the servers) is so helpful.",general,positive,negative,positive,positive
The atmosphere was nice but it was a little too dark.,general,positive,negative,positive,positive
My girlfriend and I just spent our 10 month anniversary at Lou Lou.,general,positive,neutral,neutral,neutral
Cantinetta is a real treasure in a see of mediocre Italian restaurants.,general,positive,neutral,positive,positive
We ordered a glass of wine and were finished eating and paying before the wine came.,general,positive,neutral,neutral,neutral
The prices are not terrible.,general,positive,negative,positive,positive
If your looking for nasty high priced food with a dash of ghetto scenery cheap BX A$$ this is the place to be!!,food,positive,positive,negative,negative
I asked for a simple medium rare steak.,general,positive,neutral,neutral,neutral
this without question is one of the worst hotdogs i have ever had.,general,positive,negative,negative,negative
Save room for deserts - they're to die for.,general,positive,neutral,positive,negative
I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,general,positive,negative,negative,negative
The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,menu,negative,negative,negative,neutral
"but, the filet mignon was not very good at all cocktail hour includes free appetizers (nice non-sushi selection).",general,positive,negative,neutral,neutral
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast.,general,positive,negative,neutral,neutral
You can eat gourmet food at a fast food price.,food,positive,neutral,neutral,neutral
Ask for the round corner table next to the large window.,general,positive,positive,neutral,neutral
This place has the strangest menu and the restaurants tries too hard to make fancy food.,menu,positive,positive,negative,negative
As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.,general,positive,negative,negative,negative
"If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out.",general,positive,negative,positive,positive
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",menu,positive,neutral,neutral,neutral
The place just isn't ready for prime time.,general,positive,negative,negative,negative
15% gratuity automatically added to the bill.,general,positive,positive,neutral,neutral
Don't waste your time or your money.,general,positive,negative,positive,positive
The only drawback is that it's a little pricey.,general,positive,negative,negative,negative
A con was the slow bar service.,service,positive,negative,negative,negative
We live in the neighborhood and have been going there twice a week since the day they first opened.,general,positive,positive,neutral,neutral
I went for restaurant week.,general,positive,neutral,neutral,neutral
new hamburger with special sauce is ok - at least better than big mac!,general,positive,negative,neutral,neutral
The chicken dinner was real good.,general,positive,negative,positive,positive
"Tables are close, so you better be comfortable bumping elbows with other patrons.",general,positive,negative,negative,neutral
"We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes.",general,positive,negative,neutral,neutral
My friend told me about this restaurant for a year before he finally took me this weekend.,general,positive,neutral,positive,neutral
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,food,positive,positive,neutral,neutral
Save room for the desserts! ;-),general,positive,positive,neutral,positive
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",price,positive,negative,negative,negative
Can be a bit busy around peak times because of the size.,general,positive,negative,negative,negative
You will find everything about Trio to your liking!,general,positive,neutral,positive,positive
Meal was very expensive for what you get.,general,positive,negative,negative,negative
"Over priced, overrated....stay away!",general,positive,negative,negative,negative
Bring your date and a bottle of wine!,general,positive,neutral,positive,positive
You won't be dissapointed.,general,positive,negative,positive,positive
I went for restaurant week and ordered off the prix fixe menu,menu,positive,neutral,neutral,neutral
"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine.",food,positive,neutral,negative,neutral
Go for the Seafood Paella for two.,general,positive,negative,positive,positive
It's eaten with black vinegar and shredded ginger.,general,positive,positive,negative,negative
The food was mediocre and the service was severely slow.,service,positive,negative,negative,negative
") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",general,negative,negative,negative,positive
WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,general,positive,negative,neutral,positive
At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.,general,positive,negative,positive,positive
But regulars know that the sandwiches are the real star here.,general,negative,negative,positive,positive
The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,general,positive,positive,negative,negative
Not to sound too negative but be wary of the delivary.,general,positive,negative,neutral,positive
"I found the food to be just as good as its owner, Da Silvano, just much less expensive.",food,negative,negative,positive,positive
It was delish and I didn't feel bad eating it.,general,positive,negative,positive,positive
I always find myself asking the waiter to make something bland and different than what is on the menu.,menu,positive,negative,negative,neutral
I have dined at Mammino several times now and each time it gets bettter.,general,negative,negative,neutral,neutral
THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.,general,positive,positive,negative,negative
"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.",general,positive,neutral,negative,negative
"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",general,positive,neutral,positive,positive
I never had an orange donut before so I gave it a shot.,general,positive,positive,neutral,neutral
"Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.",food,positive,neutral,positive,positive
The food really isn't very good and the service is terrible.,service,positive,positive,negative,negative
Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,general,positive,negative,neutral,neutral
Dieters stick to salads or indulge in vegetarian platters.,general,positive,positive,neutral,neutral
"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area.",general,positive,negative,neutral,neutral
I was highly disappointed by their service and food.,service,positive,positive,negative,negative
"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.",general,positive,negative,neutral,negative
Everything about this place is adorable - even the bathroom!,general,positive,negative,positive,positive
This place has the strangest menu and the restaurants tries too hard to make fancy food.,food,positive,neutral,negative,negative
i went in one day asking for a table for a group and was greeted by a very rude hostess.,general,positive,negative,negative,negative
Could have had better for 1/3 the price in Chinatown.,price,positive,positive,negative,positive
Average cake thats been courted by a LOT of hype.,general,positive,positive,positive,neutral
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,neutral,neutral,positive,positive
"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile.",general,positive,neutral,positive,positive
their brunch menu had something for everyone.,menu,positive,neutral,neutral,neutral
I stumbled upon this resteraunt on my way home from the subway.,general,positive,negative,neutral,neutral
Somewhat disappointing wine list (only new vintages.,general,positive,negative,negative,negative
"In mi burrito, here was nothing but dark chicken that had that cooked last week and just warmed up in a microwave taste.",general,positive,negative,negative,negative
This particular location certainly uses substandard meats.,general,positive,positive,negative,negative
"The sauce may not be for everyone, since it is distintive.",general,positive,negative,negative,negative
I would only go for the coffee which is way better than Starbucks or the like.,general,positive,positive,neutral,neutral
"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",general,positive,neutral,neutral,neutral
I went to Kitchenette this weekend for brunch.,general,positive,neutral,neutral,neutral
"It was good, but none of the flavors WOW.",general,positive,positive,negative,negative
"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).",general,positive,positive,negative,negative
The falafal was rather over cooked and dried but the chicken was fine.,general,positive,negative,negative,negative
It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!,general,positive,negative,neutral,neutral
Half a chicken with a mountain of rice and beans for $6.25.,general,positive,positive,neutral,neutral
The portions of the food that came out were mediocre.,food,positive,negative,negative,neutral
"Not terrible, but not the restaurant in the reviews of 2002.",general,negative,negative,negative,positive
"But dinner here is never disappointing, even if the prices are a bit over the top.",general,positive,negative,positive,positive
This place is average... at best.,general,positive,negative,positive,positive
"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.",general,positive,neutral,positive,positive
